OTU	Kingdom	Phylum	Class	Order	Family	Genus
Otu004285	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)_fa	SAR324_clade(Marine_group_B)_ge
Otu004286	Bacteria	Planctomycetes	vadinHA49	vadinHA49_or	vadinHA49_fa	vadinHA49_ge
Otu004287	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	SH-PL14
Otu004288	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
Otu004289	Bacteria	Cyanobacteria	Sericytochromatia	Sericytochromatia_or	Sericytochromatia_fa	Sericytochromatia_ge
Otu004290	Bacteria	Planctomycetes	vadinHA49	vadinHA49_or	vadinHA49_fa	vadinHA49_ge
Otu004291	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Nannocystis
Otu004292	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Otu004293	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured
Otu004294	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	NS11-12_marine_group	NS11-12_marine_group_ge
Otu004295	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia
Otu004296	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
Otu004297	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Xenococcaceae	Chroococcidiopsis_PCC-6712
Otu004298	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	uncultured
Otu004299	Bacteria	Cyanobacteria	Melainabacteria	Vampirovibrionales	Vampirovibrionales_fa	Vampirovibrionales_ge
Otu004300	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	uncultured
Otu004301	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocales_unclassified	Nostocales_unclassified
Otu004302	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured
Otu004303	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12_ge
Otu004304	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria_unclassified	Parcubacteria_unclassified	Parcubacteria_unclassified
Otu004305	Bacteria	Elusimicrobia	Lineage_IIb	Lineage_IIb_or	Lineage_IIb_fa	Lineage_IIb_ge
Otu004306	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu004307	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	uncultured
Otu004308	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Solibacteraceae_(Subgroup_3)_unclassified
Otu004309	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliales_unclassified	Babeliales_unclassified
Otu004310	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12_ge
Otu004311	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Otu004312	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured
Otu004313	Bacteria	Bacteroidetes	Ignavibacteria	SJA-28	SJA-28_fa	SJA-28_ge
Otu004314	Bacteria	Bacteroidetes	Ignavibacteria	OPB56	OPB56_fa	OPB56_ge
Otu004315	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured
Otu004316	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_unclassified
Otu004317	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_unclassified
Otu004318	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20	0319-6G20_ge
Otu004319	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Blastocatellales	Blastocatellaceae	JGI_0001001-H03
Otu004320	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Berkiella
Otu004321	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Bryobacter
Otu004322	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
Otu004323	Bacteria	Omnitrophicaeota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
Otu004324	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
Otu004325	Bacteria	FCPU426	FCPU426_cl	FCPU426_or	FCPU426_fa	FCPU426_ge
Otu004326	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	Telmatocola
Otu004327	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Nannocystis
Otu004328	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	uncultured
Otu004329	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_unclassified	Rhizobiales_unclassified
Otu004330	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Puniceicoccaceae_unclassified
Otu004331	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
Otu004332	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	Gemmataceae_unclassified
Otu004333	Bacteria	Omnitrophicaeota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
Otu004334	Bacteria	Omnitrophicaeota	Omnitrophicaeota_cl	Omnitrophicaeota_or	Omnitrophicaeota_fa	Omnitrophicaeota_ge
Otu004335	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Desulfomonile
Otu004336	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliales_unclassified	Babeliales_unclassified
Otu004337	Bacteria	Planctomycetes	Planctomycetacia	uncultured	uncultured_fa	uncultured_ge
Otu004338	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu004339	Bacteria	Chloroflexi	TK10	TK10_or	TK10_fa	TK10_ge
Otu004340	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fulvivirga
Otu004341	Bacteria	Entotheonellaeota	Entotheonellia	Entotheonellales	Entotheonellaceae	Entotheonellaceae_ge
Otu004342	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4_lineage
Otu004343	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium
Otu004344	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae_ge
Otu004345	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	uncultured
Otu004346	Bacteria	Planctomycetes	Phycisphaerae	Pla1_lineage	Pla1_lineage_fa	Pla1_lineage_ge
Otu004347	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured
Otu004348	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella
Otu004349	Bacteria	Patescibacteria	Gracilibacteria	Gracilibacteria_unclassified	Gracilibacteria_unclassified	Gracilibacteria_unclassified
Otu004350	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagales_unclassified	Cytophagales_unclassified
Otu004351	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Otu004352	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacteraceae_unclassified
Otu004353	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonadaceae_unclassified
Otu004354	Bacteria	Cyanobacteria	Oxyphotobacteria	Phormidesmiales	Phormidesmiaceae	Phormidesmis_ANT.LACV5.1
Otu004355	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	uncultured
Otu004356	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales_fa	Saccharimonadales_ge
Otu004357	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola
Otu004358	Bacteria	Acidobacteria	Subgroup_6	Subgroup_6_or	Subgroup_6_fa	Subgroup_6_ge
Otu004359	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	uncultured
Otu004360	Bacteria	Omnitrophicaeota	Omnitrophicaeota_cl	Omnitrophicaeota_or	Omnitrophicaeota_fa	Omnitrophicaeota_ge
Otu004361	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	uncultured_ge
Otu004362	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu004363	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_unclassified
Otu004364	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter
Otu004365	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae_ge
Otu004366	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
Otu004367	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula
Otu004368	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Betaproteobacteriales_unclassified	Betaproteobacteriales_unclassified
Otu004369	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus
Otu004370	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured
Otu004371	Bacteria	Elusimicrobia	Lineage_IIb	Lineage_IIb_or	Lineage_IIb_fa	Lineage_IIb_ge
Otu004372	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Rivularia_PCC-7116
Otu004373	Bacteria	Omnitrophicaeota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
Otu004374	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	uncultured_fa	uncultured_ge
Otu004375	Bacteria	Proteobacteria	Gammaproteobacteria	Competibacterales	Competibacteraceae	Candidatus_Competibacter
Otu004376	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacterium
Otu004377	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	Elsteraceae	Elstera
Otu004378	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae_ge
Otu004379	Bacteria	Cyanobacteria	Sericytochromatia	Sericytochromatia_or	Sericytochromatia_fa	Sericytochromatia_ge
Otu004380	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Bryobacter
Otu004381	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocales_unclassified	Nostocales_unclassified
Otu004382	Bacteria	Cyanobacteria	Melainabacteria	Caenarcaniphilales	Caenarcaniphilales_fa	Caenarcaniphilales_ge
Otu004383	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu004384	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	uncultured_ge
Otu004385	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4_lineage
Otu004386	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu004387	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
Otu004388	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia
Otu004389	Bacteria	Bacteroidetes	OC31	OC31_or	OC31_fa	OC31_ge
Otu004390	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified
Otu004391	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Solibacteraceae_(Subgroup_3)_unclassified
Otu004392	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group	NS9_marine_group_ge
Otu004393	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured
Otu004394	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	uncultured
Otu004395	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
Otu004396	Bacteria	Planctomycetes	OM190	OM190_or	OM190_fa	OM190_ge
Otu004397	Bacteria	Planctomycetes	vadinHA49	vadinHA49_or	vadinHA49_fa	vadinHA49_ge
Otu004398	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillales_Incertae_Sedis	Stella
Otu004399	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	Planctomicrobium
Otu004400	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified
Otu004401	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu004402	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Rheinheimera
Otu004403	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NB1-j_fa	NB1-j_ge
Otu004404	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	PAUC26f
Otu004405	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacterales_unclassified	Chthoniobacterales_unclassified
Otu004406	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	uncultured
Otu004407	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
Otu004408	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliales_fa	Babeliales_ge
Otu004409	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	uncultured
Otu004410	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
Otu004411	Bacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_unclassified	Deltaproteobacteria_unclassified	Deltaproteobacteria_unclassified
Otu004412	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)_fa	SAR324_clade(Marine_group_B)_ge
Otu004413	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
Otu004414	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae_ge
Otu004415	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured
Otu004416	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	UKL13-1
Otu004417	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
Otu004418	Bacteria	Patescibacteria	ABY1	ABY1_unclassified	ABY1_unclassified	ABY1_unclassified
Otu004419	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_unclassified	Rhizobiales_unclassified
Otu004420	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Intrasporangiaceae_unclassified
Otu004421	Bacteria	Nitrospirae	Thermodesulfovibrionia	uncultured	uncultured_fa	uncultured_ge
Otu004422	Bacteria	Planctomycetes	OM190	OM190_or	OM190_fa	OM190_ge
Otu004423	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales_fa	Saccharimonadales_ge
Otu004424	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
Otu004425	Bacteria	Planctomycetes	Phycisphaerae	CCM11a	CCM11a_fa	CCM11a_ge
Otu004426	Bacteria	Planctomycetes	OM190	OM190_or	OM190_fa	OM190_ge
Otu004427	Bacteria	Proteobacteria	Deltaproteobacteria	MBNT15	MBNT15_fa	MBNT15_ge
Otu004428	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	PAUC26f
Otu004429	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified
Otu004430	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionellaceae_unclassified
Otu004431	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured
Otu004432	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	M2PB4-61_termite_group
Otu004433	Bacteria	Planctomycetes	Phycisphaerae	Pla1_lineage	Pla1_lineage_fa	Pla1_lineage_ge
Otu004434	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured
Otu004435	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dokdonella
Otu004436	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_unclassified	Bacteroidia_unclassified	Bacteroidia_unclassified
Otu004437	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	uncultured
Otu004438	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella
Otu004439	Bacteria	Planctomycetes	OM190	OM190_or	OM190_fa	OM190_ge
Otu004440	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu004441	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionales_unclassified	Micavibrionales_unclassified
Otu004442	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_unclassified	Bacteroidia_unclassified	Bacteroidia_unclassified
Otu004443	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Amphiplicatus
Otu004444	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales_fa	Saccharimonadales_ge
Otu004445	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured
Otu004446	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12_ge
Otu004447	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	uncultured	uncultured_ge
Otu004448	Bacteria	Bacteroidetes	Ignavibacteria	Kryptoniales	BSV26	BSV26_ge
Otu004449	Bacteria	Cyanobacteria	Melainabacteria	Vampirovibrionales	Vampirovibrionales_fa	Vampirovibrionales_ge
Otu004450	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	uncultured	uncultured_ge
Otu004451	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	uncultured
Otu004452	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	uncultured_ge
Otu004453	Bacteria	Proteobacteria	Gammaproteobacteria	Piscirickettsiales	Piscirickettsiaceae	Candidatus_Endoecteinascidia
Otu004454	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified
Otu004455	Bacteria	Omnitrophicaeota	Omnitrophicaeota_cl	Omnitrophicaeota_or	Omnitrophicaeota_fa	Omnitrophicaeota_ge
Otu004456	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophagaceae_unclassified
Otu004457	Bacteria	Cyanobacteria	Sericytochromatia	Sericytochromatia_or	Sericytochromatia_fa	Sericytochromatia_ge
Otu004458	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured
Otu004459	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionales_unclassified	Micavibrionales_unclassified
Otu004460	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Mangroviflexus
Otu004461	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu004462	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	B1-7BS	B1-7BS_ge
Otu004463	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichales_unclassified	Microtrichales_unclassified
Otu004464	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutibacter
Otu004465	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta_2
Otu004466	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_13
Otu004467	Bacteria	Patescibacteria	Gracilibacteria	Candidatus_Peregrinibacteria	Candidatus_Peregrinibacteria_fa	Candidatus_Peregrinibacteria_ge
Otu004468	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_unclassified
Otu004469	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu004470	Bacteria	Planctomycetes	Phycisphaerae	Pla1_lineage	Pla1_lineage_fa	Pla1_lineage_ge
Otu004471	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	uncultured
Otu004472	Bacteria	Gemmatimonadetes	BD2-11_terrestrial_group	BD2-11_terrestrial_group_or	BD2-11_terrestrial_group_fa	BD2-11_terrestrial_group_ge
Otu004473	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_unclassified	Rickettsiales_unclassified
Otu004474	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
Otu004475	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
Otu004476	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured
Otu004477	Bacteria	Planctomycetes	Phycisphaerae	CCM11a	CCM11a_fa	CCM11a_ge
Otu004478	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured
Otu004479	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodopirillaceae	Defluviicoccus
Otu004480	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_ge
Otu004481	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	uncultured	uncultured_ge
Otu004482	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Blastocatellales	Blastocatellaceae	uncultured
Otu004483	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	Tagaea
Otu004484	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae_ge
Otu004485	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriales_unclassified	Sphingobacteriales_unclassified
Otu004486	Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	R76-B128
Otu004487	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured
Otu004488	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	uncultured
Otu004489	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Rheinheimera
Otu004490	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	SWB02
Otu004491	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured
Otu004492	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales	Obscuribacterales_fa	Obscuribacterales_ge
Otu004493	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NB1-j_fa	NB1-j_ge
Otu004494	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	uncultured_ge
Otu004495	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu004496	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified
Otu004497	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionales_unclassified	Micavibrionales_unclassified
Otu004498	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Schlesneriaceae	Planctopirus
Otu004499	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured
Otu004500	Bacteria	Zixibacteria	Zixibacteria_cl	Zixibacteria_or	Zixibacteria_fa	Zixibacteria_ge
Otu004501	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae_unclassified
Otu004502	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured
Otu004503	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	Fimbriiglobus
Otu004504	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured
Otu004505	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Rivularia_PCC-7116
Otu004506	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	uncultured	uncultured_ge
Otu004507	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured
Otu004508	Bacteria	Omnitrophicaeota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
Otu004509	Bacteria	Planctomycetes	Phycisphaerae	mle1-8	mle1-8_fa	mle1-8_ge
Otu004510	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17_ge
Otu004511	Bacteria	Bacteroidetes	Ignavibacteria	SJA-28	SJA-28_fa	SJA-28_ge
Otu004512	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
Otu004513	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Hoeflea
Otu004514	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Otu004515	Bacteria	Planctomycetes	OM190	OM190_or	OM190_fa	OM190_ge
Otu004516	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix
Otu004517	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	mle1-27	mle1-27_ge
Otu004518	Bacteria	Kiritimatiellaeota	Kiritimatiellae	WCHB1-41	WCHB1-41_fa	WCHB1-41_ge
