Sample	OTU1	OTU2	OTU3	OTU6	OTU7	OTU17	OTU61
N1	0.5779813693239463	37.166046668921204	1.377317305623021	0.7931871983275434	0.2029083530605343	0.0983798075445015	0.003074368985765672
N2	0.5130139569973595	39.85665786495662	2.101093926820068	2.1274990569596377	0.12825348924933988	0.07921539041870992	0.03772161448509996
N3	11.860351958478631	27.641716000324383	3.8723542291784927	0.7623063822885411	0.6649906739112805	0.04865785418863028	0.3446598005027978
N4	28.837925723087455	33.533002453077756	2.8809401563123966	1.6601061098750642	1.9966911974442354	0.3422899195618689	0.06845798391237377
N5	3.963244450169608	27.184507707501393	20.451715402121174	1.5801451328953584	0.5539095710421229	0.14599166988707113	0.30057108506161706
N6	10.59849690054309	29.184266827582423	12.386856108398705	1.4262987547314718	0.5760052663338636	0.03291458664764935	0.1261725821493225
N7	20.3264	29.6064	4.6144	0.5055999999999999	0.8959999999999999	0.032	0.0832
N8	25.348107472053343	18.84683271229653	0.7354383212394587	5.599137085703079	1.441459109629339	0.10786428711512061	0.07844675426554226
N9	47.64402560455192	6.0455192034139404	3.559151256519678	0.3200568990042674	2.4270981507823612	0.12150308202939782	0.1807728781412992
N10	41.764187743802694	4.397885994714986	0.46558449729457657	1.447086951050711	5.530388825972065	0.09437523593808984	0.06291682395872657
N11	59.08405237434381	0.018101731732335726	0.7029505822723707	0.06637301635189767	0.10257647981656913	0.26247511011886804	0.41935678513244434
N12	52.9788381183448	0.026957811025744707	1.4152850788515974	0.06739452756436178	5.337646583097452	0.43806442916835153	0.04717616929505324
N13	53.48204128067609	0.008126117341134406	1.5520884121566716	0.04469364537623923	1.1498456037705185	0.17471152283438973	0.05281976271737363
N14	60.082187321995285	0.008137358613394093	2.591748718366018	0.10171698266742614	3.783871755228253	1.407763040117178	0.1301977378143055
N15	50.34830218749197	0.005140991697298409	8.292419607742334	0.2699020641081665	4.385265917795543	1.2004215613191784	0.3932858648433283
N16	59.29450834278309	0.020249473513688644	6.5527296290296455	0.1376964198930828	0.9152762028187267	0.3523408391381824	0.07694799935201685
N17	48.47353910295206	0.04707148140676484	0.13448994687647098	0.18828592562705937	12.826978683343421	0.0806939681258826	0.2521686503933831
N18	30.61635300508036	14.838482921685783	7.837811930855993	0.3067386650477682	5.329584305204971	0.17254049908936958	0.04153752755855194
N19	1.4383115639483663	3.868694219941012	2.3116405561726743	1.5206649557589917	16.307886773662236	0.11299651434481174	0.27770329796606275
N20	25.805251408525564	11.746571701924099	5.129159136813011	0.7600722865950887	15.424683746146487	0.07441267141490379	0.2657595407675135
N21	13.287805586835699	11.119183406589416	3.59984016854953	5.708525554869411	2.8624359766064877	0.22884957680990953	0.13621998619637474
N22	19.150048681980454	17.87530200858245	5.794958710468428	0.8059572319786521	0.036060726263026935	0.06671234358659985	0.1334246871731997
N23	24.19226484163616	18.66942543371001	3.994906891612287	0.41381505650167116	0.01591596371160274	0.05968486391851026	0.11539073690911984
N24	4.65697559692166	30.41504966125107	9.412615931066238	0.9471814773399987	0.03946589488916661	0.11839768466749984	0.06577649148194435
N25	16.31232519504553	26.46941307593632	7.944819464597397	0.3574958467394276	0.014720417218682313	0.006308750236578134	0.03364666792841672
N26	3.1578947368421053	26.44950213371266	13.092460881934567	1.6842105263157894	0.03698435277382646	0.03413940256045519	0.1337126600284495
N27	1.8075491759702287	20.101600803355186	5.859767263276035	13.367594069348455	0.0413491641561817	0.0767913048614803	0.2658160552897395
N28	0.22206472950626033	22.423812898653438	4.795653201039452	15.950862272619892	0.08504606661941885	0.07087172218284904	0.14174344436569808
N29	5.52849129022734	24.391054030115146	10.687924416888102	4.543105993504577	0.04428697962798937	0.0959551225273103	0.26203129613227044
N30	0.17120844628334997	13.73591097160793	5.492937651590812	12.166500214010558	0.12840633471251248	0.03923526893993437	0.2461121415323156
N31	18.616209308104654	13.095956547978274	3.9831019915509955	8.67975433987717	0.31595015797507897	0.3692001846000923	0.03905001952500976
N_1	1.3101580924098175	5.52886714996943	0.5502663988121232	2.2185343698139577	0.06987509826185694	2.480565988295921	0.38431304044021314
N_2	0.695612291698517	5.04510013759364	0.19110227793915302	0.9020027518728024	0.06879682005809509	2.4843296132089896	0.06115272894052897
N_3	0.18021954016711267	1.0649336464420294	0.6061929987439244	0.3986674676424007	0.02730599093441101	4.232428594833706	0.09830156736387963
N_4	0.12858555885262118	1.3353115727002967	0.8407517309594461	1.1078140454995054	0.04945598417408506	3.2344213649851636	0.25717111770524237
N_5	0.15135589657347068	0.1429472356527223	3.737649779272651	2.745427790624343	0.01681732184149674	1.2612991381122556	0.12612991381122557
N_6	1.6395362454619977	0.17566459772807122	12.800093687785456	6.183393840028106	0.538704766366085	0.7026583909122849	0.15224265136432838
N_7	0.24449877750611246	0.24449877750611246	6.1215249479308165	3.8214253373177574	0.28072081861812914	2.6351534908992122	0.19922122611609164
N_8	9.527938342967245	6.440269749518304	8.10693641618497	0.5394990366088632	2.0375722543352603	1.1175337186897882	0.3131021194605009
N_9	0.5619710105198232	4.207929273892335	1.0074358359318782	0.8943563033272796	0.030839872528526883	5.061165747181579	0.9320494808621458
