Sample	OTU1	OTU2	OTU3	OTU6	OTU7	OTU9	OTU15	OTU17	OTU18	OTU20	OTU21	OTU27	OTU29	OTU40	OTU52	OTU53	OTU61	OTU69	OTU104	OTU116	OTU401
N1	0.5779813693239463	37.166046668921204	1.377317305623021	0.7931871983275434	0.2029083530605343	0.027669320871891043	1.263565653149691	0.0983798075445015	0.07993359362990746	0.13219786638792388	0.006148737971531344	0.006148737971531344	1.0360623482030313	0.006148737971531344	0.0645617487010791	0.009223106957297016	0.003074368985765672	0.061487379715313435	0.27669320871891045	0.6148737971531343	0.18753650813170597
N2	0.5130139569973595	39.85665786495662	2.101093926820068	2.1274990569596377	0.12825348924933988	0.01886080724254998	1.195775179177669	0.07921539041870992	0.4752923425122595	0.2263296869105998	0.030177291588079972	0.19615239532251982	1.4070162202942285	0.026405130139569976	0.05281026027913995	0.03772161448509996	0.03772161448509996	0.0905318747642399	0.12448132780082986	0.6148623161071294	0.12070916635231989
N3	11.860351958478631	27.641716000324383	3.8723542291784927	0.7623063822885411	0.6649906739112805	0.13786392020111912	0.2351796285783797	0.04865785418863028	2.092287730111102	0.3000567674965534	1.7192441813316033	2.1450004054821186	0.6568810315465088	1.102911361608953	0.8312383423891007	0.3933176546914281	0.3446598005027978	0.11353499310680398	0.35682426404995543	0.1500283837482767	0.08109642364771713
N4	28.837925723087455	33.533002453077756	2.8809401563123966	1.6601061098750642	1.9966911974442354	1.791317245707114	0.35369958354726455	0.3422899195618689	2.247703805122939	0.5990073592332705	0.23960294369330823	0.017114495978093443	0.23960294369330823	0.03422899195618689	1.7456785897655314	0.12550630383935193	0.06845798391237377	0.11409663985395631	0.017114495978093443	0.20537395173712134	0.04563865594158252
N5	3.963244450169608	27.184507707501393	20.451715402121174	1.5801451328953584	0.5539095710421229	1.721842930138692	0.21039975954313195	0.14599166988707113	2.967065996822534	0.4422688823049508	1.4899738073768731	4.611619219373953	0.36068530207394045	0.8244235475975782	0.28768946713040494	0.3392159388552536	0.30057108506161706	0.5152647172484864	0.1545794151745459	0.11593456138090945	0.02146936321868693
N6	10.59849690054309	29.184266827582423	12.386856108398705	1.4262987547314718	0.5760052663338636	0.7625212573372099	0.4937187997147403	0.03291458664764935	1.25624005705195	0.21943057765099566	1.5908716879697187	2.7099676339897965	0.23040210653354543	0.3456031598003182	0.8283504306325086	0.42240386197816665	0.1261725821493225	0.37303198200669263	0.09874375994294805	0.054857644412748915	0.02194305776509957
N7	20.3264	29.6064	4.6144	0.5055999999999999	0.8959999999999999	0.128	0.7232	0.032	1.7344	0.28800000000000003	3.3023999999999996	2.4256	0.6335999999999999	1.4144	1.1456	0.384	0.0832	0.15360000000000001	0.0832	0.0896	0.0704
N8	25.348107472053343	18.84683271229653	0.7354383212394587	5.599137085703079	1.441459109629339	0.14708766424789174	0.18140811923906647	0.10786428711512061	1.2502451461070798	0.5687389684251815	3.432045499117474	3.593841929790155	0.7452441655226515	1.225730535399098	1.1325750147087663	0.3775250049029222	0.07844675426554226	0.029417532849578352	0.053932143557560305	0.112767209256717	0.019611688566385566
N9	47.64402560455192	6.0455192034139404	3.559151256519678	0.3200568990042674	2.4270981507823612	0.12150308202939782	0.005926979611190137	0.12150308202939782	1.3928402086296823	0.0474158368895211	7.210170697012802	1.0816737790422	1.120199146514936	2.456733048838312	0.6816026552868658	0.5423186344238976	0.1807728781412992	0.14521100047415836	0.0474158368895211	0.06519677572309152	0.0770507349454718
N10	41.764187743802694	4.397885994714986	0.46558449729457657	1.447086951050711	5.530388825972065	0.053479300364917576	0.01887504718761797	0.09437523593808984	0.9217314709953442	0.03460425317729961	5.86070215175538	0.7172517931294828	0.28941739021014223	1.7302126588649804	0.7203976343274191	0.36491757896061405	0.06291682395872657	0.006291682395872656	0.03775009437523594	0.0220208883855543	0.009437523593808984
N11	59.08405237434381	0.018101731732335726	0.7029505822723707	0.06637301635189767	0.10257647981656913	0.015084776443613106	0.10559343510529173	0.26247511011886804	0.4555602485971158	0.006033910577445243	0.021118687021058347	0.06335606106317505	4.43190731913353	0.12369516683762748	0.13877994328124058	0.45254329330839316	0.41935678513244434	0.03620346346467145	0.057322150485729806	0.16593254087974416	0.057322150485729806
N12	52.9788381183448	0.026957811025744707	1.4152850788515974	0.06739452756436178	5.337646583097452	0.0606550748079256	0.2560992047445747	0.43806442916835153	0.41784607089904297	0.040436716538617065	1.293974929235746	0.6806847284000539	0.026957811025744707	0.07413398032079796	0.3841488071168621	1.368108909556544	0.04717616929505324	0.03369726378218089	0.013478905512872353	0.026957811025744707	0.013478905512872353
N13	53.48204128067609	0.008126117341134406	1.5520884121566716	0.04469364537623923	1.1498456037705185	0.07719811474077685	0.08938729075247846	0.17471152283438973	0.4428733950918251	0.008126117341134406	2.2468714448236633	1.661790996261986	0.004063058670567203	0.5322606858443036	0.29254022428083865	2.364700146270112	0.05281976271737363	0.10563952543474726	0.04469364537623923	0.01625223468226881	0.004063058670567203
N14	60.082187321995285	0.008137358613394093	2.591748718366018	0.10171698266742614	3.783871755228253	0.052892830987061594	2.2621856945235574	1.407763040117178	0.3458377410692489	0.004068679306697047	0.2522581170152169	0.4434860444299781	0.004068679306697047	0.06916754821384978	0.3254943445357637	0.4475547237366751	0.1301977378143055	0.1424037757343966	0.036618113760273414	0.052892830987061594	0.04475547237366751
N15	50.34830218749197	0.005140991697298409	8.292419607742334	0.2699020641081665	4.385265917795543	0.06683289206487932	0.7351618127136724	1.2004215613191784	0.604066524432563	0.041127933578387274	0.41127933578387277	1.0513328020975246	0.0591214045189317	0.07968537130812534	0.3110299976865537	0.6349124746163535	0.3932858648433283	0.24933809731897283	0.020563966789193637	0.0565509086702825	0.03855743772973806
